Abstract;Year
"The invention discloses a case recommendation method device and equipment and a storage medium and relates to the technical field of knowledge maps and deep learning. The specific implementation scheme is as follows: receiving a case recommendation request from terminal equipment wherein the case recommendation request is used for requesting to obtain a recommended case of a first case; obtaining a plurality of semantic elements of the first case wherein the semantic elements are elements for describing case composition; according to the similarity of the first case and the historical casefor each semantic element and the weight of each semantic element obtaining a recommended case of the first case from the historical case the weight of the semantic element being related to the type of the first case; sending recommended cases to a terminal device. The implementation scheme improves the accuracy of case recommendation.";2020
"The embodiment of the invention provides a content recommendation method and device and relates to the technical field of knowledge maps and deep learning and the method specifically comprises the steps: obtaining first data and second data; and inputting the first data and the second data into a preset first model to obtain a recommendation result wherein the first model is obtained by training based on the combination relationship of the set of the first type of data the set of the second type of data and the set of the third type of data and the set of the third type of data can be obtained by reasoning according to the set of the first type of data and the set of the second type of data the first data belongs to a first type of data the second data belongs to a second type of data the recommendation result belongs to a third type of data and the third type of data is data representing rules. The first model provided by the embodiment of the invention is different from a model obtained by utilizing text similarity or user behavior log training in the prior art and can be suitable for a law article recommendation scene.";2020
"The invention discloses a legal field event extraction method based on a pre-training model and a convolutional neural network algorithm and the method comprises the steps: crawling a public legal text corpus through a web crawler carrying out the text preprocessing of the original corpus and obtaining available legal text corpus data; obtaining high-frequency verbs and key nouns in the legal field and clustering the words; constructing an original legal event knowledge base IE and on this basis realizing large-scale automatic labeling of legal event corpus data in a remote supervised learning mode; and realizing a legal event extraction system based on an NEZHA pre-training corpus model and a DMCNN convolutional neural network model by using the obtained large-scale legal event prediction data. Large-scale automatic labeling of legal event corpus data is realized based on a remote supervised learning mode deep semantic information of legal text data is mined by utilizing the pre-training language model and the convolutional neural network algorithm and a better effect is achieved on a legal event extraction task.";2021
"The invention discloses a legal text-oriented knowledge representation learning method based on a TransE model. The method comprises the following steps: S1 acquiring a legal industry training text by using a mask language model; S2 according to the obtained legal industry training text dividing entities extracting a corresponding relation between the entities and storing defined data in a graph database in a triple form; and S3 matching industry word entities in a training text by utilizing the graph database and defining a target function of a knowledge representation learning TransE model. The model is trained by fusing the entity vector in the training text and the structure information in the graph database and the representation of the entity vector and the relationship vector is learned. According to the method the problem that only structured information is utilized and various kinds of extra information are not utilized in a traditional knowledge representation learning method is solved so that the knowledge representation obtained by fusing the text information can better represent a complex relationship in a knowledge base.";2021
"The invention discloses a method for constructing a knowledge graph based on criminal judicial documents and the method comprises the steps: carrying out the classification processing and summarization of various sentencing plots specified by legal specifications based on a server terminal building a structured semantic knowledge base forming a sentencing factor graph rule based on the sentencing factor graph rule automatically synchronizing data from a criminal judgment document network or manually adding document data to create a data set obtaining entity information through entity recognition information extraction knowledge fusion and knowledge storage constructing a knowledge graph collecting and learning and analyzing criminal judgment documents by adopting an artificial intelligence technical means continuously iterating and updating and perfecting the knowledge graph. According to the method sufficient legal basis is used as law support and the numerical accuracy is high; and different factors of criminal penalty amount are fully considered and the method can be suitable for different sentencing environments and can be continuously updated and perfected.";2021
"The invention discloses a textual entailment recognition method based on ensemble learning and expression integrated information and relates to the field of linguistic text processing. An existing Chinese textual entailment recognition system is mainly based on lexical features syntactic features a knowledge base artificially defined rules and the like however a model formed by training with lexical and syntactic information as independent features has low fitting degree for data and the rules and knowledge base have limited coverages. It is put forward that features of integrated lexical and syntactic information are added to train a classifier and that integrated learning skills are utilized so that textual entailment recognition accuracy is effectively improved. The method of the invention comprises the steps of preprocessing data; converting uniformity; extracting features; training by integrated learning; classifying voting decisions. The method is applicable to the recognition of inter-sentence entailment relations in various fields.";2017
"The application discloses a method a device and equipment for extracting information. One specific embodiment mode of the method for extracting the information comprises the following steps: acquiring an annotated corpus wherein the annotated corpus comprises a plurality of sample statements and annotated information sets corresponding to each of the sample statements; constructing an input sequence and an output sequence based on the sample statements and the annotated information sets corresponding to each of the sample statements in the annotated corpus; training an information extractingmodel for generating the output sequence from the input sequence by utilizing a deep learning method; inputting a statement to be processed into the information extracting model to extract out a knowledge information set contained in the statement to be processed wherein the annotated information sets comprises at least one type of the following knowledge which is extracted from the corresponding sample statement and standardized according to a preset rule: the knowledge based on verbs or prepositions the knowledge based on noun properties the description knowledge of entities and the knowledge of the relationship between entities and concepts. The implementation mode realizes effective and accurate extracting of information.";2018
"The invention provides a method for solving a reading comprehension question based on semantic analysis and SMT solution. The method comprises the following steps: firstly performing semantic parsingon the reading comprehension question to generate a first-order logic formula corresponding to the reading comprehension question then introducing four hypotheses namely a unique name hypothesisa closed world hypothesis a closure cause hypothesis and a unique answer hypothesis to generate a first-order logic formula corresponding to candidate answers; and finally verifying whether a knowledge base contains the first-order logic formula corresponding to the candidate answers by using a SMT solver and then figuring out the answer. Compared with the existing methods of expressing textsby using neural network models and word vectors the method provided by the invention has the advantages being able to better  establish the relationship between the events described in the reading comprehension question thereby giving a reading comprehension system a stronger expression ability and reasoning ability.";2018
A method apparatus and device are for extracting information. The method includes: acquiring an annotated corpus which includes a plurality of sample sentences and annotated information sets corresponding to the sample sentences constructing an input sequence and an output sequence based on the sample sentences and the annotated information sets corresponding to the sample sentences obtaining an information extraction model generating the output sequence from the input sequence by carrying out training with a deep learning method and inputting a to-be-processed sentence into the information extraction model to extract a knowledge information set included in the to-be-processed sentence. The annotated information set includes information of at least one piece of the following types of knowledge to be extracted from corresponding sample sentences: knowledge based on verbs or prepositions knowledge based on noun attributes knowledge of entity description and knowledge of a relationship between an entity and a concept.</p>;2019
System and method for method and system for event profiling is described that processes large volume of data gathered from a plurality of digital sources to automatically profile and continuously update an event. The system utilizes an ensemble of probabilistic classifiers for automated extraction of finer details of the event which use linguistic features for profiling information about the event wherein the information is spread across various data sources. Further disambiguation is performed to augment the accuracy of the event profiling. The system enables semantically linking of related events curated in the knowledge base and thereby performs semantic search over it. The system takes user-feedback and improves upon the information extraction process through reinforcement learning.</p>;2019
"The invention provides a time knowledge fuzzy measurement method and system based on weak supervised learning and the method comprises: customizing a narrative recognition rule based on weak supervised learning and generating a sample containing time knowledge; performing deep learning training on the neural network according to the samples containing the time knowledge; and obtaining time knowledge in sentences in the plot event through the neural network after deep learning training and calculating ambiguity of the time knowledge in the sentences in the plot event. According to the invention a weak supervision method is established time knowledge in narrative paragraphs can be recognized and extracted from a large text corpus calculation and sequential sorting of the time knowledgein the narrative paragraphs are achieved through the method space-time relation classification can be improved through the time knowledge and the performance in the aspect of narrative interactiveservice tasks is improved.";2020
"The invention discloses a causal relationship discrimination method and device electronic equipment and a storage medium and relates to the technical field of knowledge maps. The specific implementation scheme comprises the following steps of acquiring event words representing all events and associated words adjacent to all the event words from a target text; inputting the event words of each event and the associated words adjacent to each event into a graph neural network; and judging whether a causal relationship exists between any two events or not through the graph neural network. According to the embodiment of the invention whether the causal relationship exists between the events or not can be accurately judged the labor cost can be saved and the judgment efficiency is improved.";2020
A computer implemented method includes building a Positive Knowledge Base with directive words designated verbs and designated objects. A Negative Knowledge Base with designated phrases and designated legal terms is built. Tasks and phrases from the Positive Knowledge Base and the Negative Knowledge Base are built. Regulations are received. Phrases from the regulations are weighted against the Positive Knowledge Base and the Negative Knowledge Base to isolate positive Maintenance Compliances. The positive Maintenance Compliances are matched to tasks to derive ranked Maintenance Compliances. The ranked Maintenance Compliances are supplied.</p>;2020
Disclosed herein is an NLP system that is able to extract meaning from a natural language message using improved parsing techniques. Such an NLP system can be used in concert with an NLG system to interactively interpret messages and generate response messages in an interactive conversational stream. The parsing can include (1) named entity recognition that contextualizes the meanings of words in a message with reference to a knowledge base of named entities understood by the NLP and NLG systems (2) syntactically parsing the message to determine a grammatical hierarchy for the named entities within the message (3) reduction of recognized named entities into aggregations of named entities using the determined grammatical hierarchy and reduction rules to further clarify the message's meaning and (4) mapping the reduced aggregation of named entities to an intent or meaning wherein this intent/meaning can be used as control instructions for an NLG process.</p>;2020
"The invention discloses an event relationship generation method and device electronic equipment and a storage medium and relates to the technical field of knowledge maps natural language processingand deep learning. According to the specific implementation scheme the method comprises the steps: obtaining a first event statement and a second event statement generating a first granularity wordsequence vector and a second granularity word sequence vector according to the first event statement generating a third granularity word sequence vector and a fourth granularity word sequence vectoraccording to the second event statement; and generating a first fusion vector according to the first granularity word sequence vector and the second granularity word sequence vector generating a second fusion vector according to the third granularity word sequence vector and the fourth granularity word sequence vector and determining an event relationship between the first event and the secondevent according to the first fusion vector and the second fusion vector. The fusion vector of the event statement determined on the basis of the word sequence vectors with different granularities comprises the characteristics of the generalized event so that the accuracy and generalization of determining the event relationship between the events are improved.";2020
The invention provides an embedded knowledge graph complementing method and device based on multi-task learning. The method comprises the steps of: inputting any object entity in a knowledge graph to be complemented and a corresponding relation entity into an entity embedded representation model and outputting another corresponding object entity representation vector. The model is obtained by training based on a sample head entity a sample relation entity and a corresponding tail entity label and a neural network constructed in the training process comprises a global sharing layer preset knowledge graph specific task presentation layers and corresponding another object entity presentation prediction modules. Each preset knowledge graph comprises at least N other knowledge graphs except the knowledge graph to be complemented. If any object entity the relation entity and the other object entity are determined to be a new triad in the knowledge graph to be complemented the new triad is added. According to the method and the device provided by the invention the embedding of a plurality of knowledge maps learned at the same time is realized the global knowledge representation is obtained and the knowledge complementing efficiency is improved.;2021
"The invention discloses a machine learning-based power grid infrastructure project data knowledge graph construction method and the method comprises the following steps: extracting information in unstructured text data and semi-structured table data of a power grid infrastructure project by utilizing a dependency relationship model and a bidirectional long-short-term memory artificial neural network hybrid model; mining the valuable information contained in texts in the data through knowledge fusion and then constructing the capital construction project data knowledge graph. According to the graph natural languages in different types of files are converted into nodes and relationships in a semantic knowledge base and intelligent search and associated information recommendation functions can be realized.";2021
"The invention discloses a method for intelligently analyzing a maintenance application ticket to generate a scheduling operation sequence. The method comprises the following steps: natural language analysis: identifying and analyzing work tasks work contents and annotation information of each room of the maintenance application ticket; a word segmentation technology: carrying out word segmentation processing on key information recognized through analysis and carrying out ID association fusion on operation equipment; the electric power rule knowledge base: carrying out deep learning on historical data such as scheduling regulations protection rules and maintenance and operation and establishing the rule knowledge base; and the intelligent inference engine: intelligently inferring the maintenance application ticket and automatically generating a scheduling operation sequence. According to the invention the working pressure of regulation and control operators is reduced and the working efficiency of regulation and control operation and the level of intelligence and safety are improved.";2021
"The invention provides a fine-grained viewpoint mining method for a comprehensive integration discussion scene. Through a conditional random field model a real-time evaluation object in a real-time discussion text in the comprehensive integration discussion scene and a real-time viewpoint word corresponding to the real-time evaluation object can be extracted; and through the field emotion knowledge base the emotion tendency of the real-time viewpoint word can be determined. In the embodiment of the invention fine-grained level viewpoint mining can be carried out on the real-time discussion text oriented to the comprehensive integration discussion scene so that viewpoints of conventioneers on various aspects of the target field are mined the conventioneers can conveniently master changes and trends of the discussion viewpoints in time and the conference discussion efficiency is improved.";2021
The invention relates to the technical field of intelligent language processing in particular to a construction method of a PCB fault diagnosis rule base electronic equipment and a storage medium thereof. The PCB fault diagnosis rule base construction method comprises the steps of obtaining a plurality of fault statements of an execution object performing grammatical analysis on the plurality of fault statements to determine a verb type filling a semantic framework with a grammatical analysis result according to the verb type performing semantic analysis on information in the semantic framework to obtain risk information and storing the risk information in a semantic template form and converting the information in the semantic template into a target language to obtain a fault aiming rule base. According to the PCB fault diagnosis rule base construction method and the established rule base provided by the invention the diagnosis of the fault of the PCB based on the natural language can be realized the PCB information in the IPC standard can be applied to the fault diagnosis to a greater extent and an important reference significance is provided for the construction of an expert system knowledge base in the future.;2021
"The invention discloses a healthy diet knowledge network construction method based on a neural network and a graph structure. The method comprises the steps that word vector modeling is performed on a text corpus so that each non-stop word in the text corpus corresponds to one word vector with a fixed length; a cosine similarity between two word vectors is used to measure the relational degree between entities corresponding to the two word vectors; food material entity nodes and symptom entity nodes are extracted the two types of entity nodes are regarded as entity nodes in a topological structure edge relations between the entity nodes are constructed to form the graph structure and all the edge relations between the entity nodes are described by one group of representative words; vector expressions corresponding to each representative word are arranged to obtain a representative matrix of the edge relations between the entity nodes; and a classification framework based on a deep neural network is designed the representative matrix is input and polarities of the edge relations between the entity nodes are classified. Through the method the problems that a traditional healthy diet knowledge base is not high in automation degree and obvious in domain limitation are effectively solved.";2017
"A preliminary pathogenesis diagnosis method based on a knowledge map includes the following steps: 1 collecting electronic medical records to construct a original dataset; 2 performing entity identification and relation extraction on the electronic medical records to construct an entity and relationship dataset in the RDF format; 3 constructing a knowledge map based on the above datasets; 4 constructing a symbiotic relationship model that predicts the relationship between diseases through the knowledge map; 5 preliminarily diagnosing the pathogenesis based on the symbiotic relationship model. The method by using a deep learning algorithm represented by a convolutional neural network and a recurrent neural network constructs the knowledge map and uses the correlation of the medicalrecord data to extract high-level abstract attributes from the original information such as the medical record texts.";2019
"An apparatus and method for cyber risk quantification calculated from the likelihood of a cyber-attack on the target enterprise and/or cyber ecosystem based on its security posture. The cyber-attack likelihood can be derived as a probability-based time-to-event (TTE) measure using survivor function analysis. The likelihood probability measure can also be passed to cyber risk frameworks to determine financial impacts of the cyber-attacks. Embodiments of the present invention also relate to an apparatus and method (1) to identify and validate application attack surfaces and protect web applications against business logic-based attacks sensitive data leakage and privilege escalation attacks; and/or (2) that protects web applications against business logic-based attacks sensitive data leakage and privilege escalation attacks. This can include implementing an intelligent learning loop using artificial intelligence that creates an ontology-based knowledge base from application request and response sequences. Stochastic probabilistic measures are preferably applied to a knowledge base for predicting malicious user actions in real time.</p>";2020
"An apparatus and method for cyber risk quantification calculated from the likelihood of a cyber-attack on the target enterprise and/or cyber ecosystem based on its security posture. The cyber-attack likelihood can be derived as a probability-based time-to-event (TTE) measure using survivor function analysis. The likelihood probability measure can also be passed to cyber risk frameworks to determine financial impacts of the cyber-attacks. Embodiments of the present invention also relate to an apparatus and method (1) to identify and validate application attack surfaces and protect web applications against business logic-based attacks sensitive data leakage and privilege escalation attacks; and/or (2) that protects web applications against business logic-based attacks sensitive data leakage and privilege escalation attacks. This can include implementing an intelligent learning loop using artificial intelligence that creates an ontology-based knowledge base from application request and response sequences. Stochastic probabilistic measures are preferably applied to a knowledge base for predicting malicious user actions in real time.</p>";2020
"An apparatus and method for cyber risk quantification calculated from the likelihood of a cyber-attack on the target enterprise and/or cyber ecosystem based on its security posture. The cyber-attack likelihood can be derived as a probability-based time-to-event (TTE) measure using survivor function analysis. The likelihood probability measure can also be passed to cyber risk frameworks to determine financial impacts of the cyber-attacks. Embodiments of the present invention also relate to an apparatus and method (1) to identify and validate application attack surfaces and protect web applications against business logic-based attacks sensitive data leakage and privilege escalation attacks; and/or (2) that protects web applications against business logic-based attacks sensitive data leakage and privilege escalation attacks. This can include implementing an intelligent learning loop using artificial intelligence that creates an ontology-based knowledge base from application request and response sequences. Stochastic probabilistic measures are preferably applied to a knowledge base for predicting malicious user actions in real time.</p>";2020
"The embodiment of the invention provides a suspicious relationship identification method and device and the method comprises the steps of carrying out the community detection of a relation network and obtaining a plurality of community subgraphs and the relation network is constructed according to the relation data between all parties on a network platform; performing association degree calculation on the plurality of community sub-graphs and each known suspicious relationship network in a suspicious relationship knowledge base and respectively setting relationship classification labels ofthe associated known suspicious relationship networks for the plurality of community sub-graphs; extracting respective relationship characteristics of the plurality of community sub-graphs; performing supervised learning by taking the respective relationship characteristics of the plurality of community sub-graphs and the respective relationship classification labels as input to obtain weights ofthe respective relationship characteristics of the plurality of community sub-graphs; and determining a suspicious relationship under the corresponding relationship classification label according tothe weights of the relationship characteristics of the plurality of community sub-graphs.";2020
An artificial intelligence-based academic relationship knowledge map generation method and robot system the method comprising: an experience acquisition step an experience extraction step an experience intersection calculation step an intersection information acquisition step a relationship generation step a knowledge map generation step and an entity acquisition step. The method and system improve the intelligence and efficiency of user academic relationship knowledge map generation by means of the artificial intelligence-based user academic relationship knowledge map generation technology.;2021
"The invention discloses an intelligent equipment fault diagnosis method based on deep learning and a knowledge graph and belongs to the field of equipment fault diagnosis. The method comprises the following steps: 1 obtaining real-time vibration data of equipment operation through an equipment sensor and carrying out data preprocessing; 2 constructing a deep learning model through the combined use of CNN GRU and Attention mechanism constructing an equipment fault diagnosis deep learning model through training and achieving the judgment of fault type result; and 3 constructing an equipment fault ontology model through a Protege modeling tool enriching instances in the fault ontology model and constructing an equipment fault map; importing the graph into a graph database Neo4j through a Cypher statement and achieving graph visualization; and 4 constructing a mapping table of the result and instances in the knowledge base and querying fault phenomenon related information by taking the instances as query conditions. According to the method the problems of insufficient feature extraction capability low diagnosis efficiency and single fault diagnosis result of a traditional fault diagnosis method can be solved.";2021
"The invention relates to a knowledge graph completion method combining a translation mechanism and a convolutional neural network and the method comprises the following steps: S1 obtaining a deterministic knowledge base and carrying out the pre-training or random initialization; S2 combining a translation mechanism and a convolutional neural network to construct a CTKE model and training the CTKE model; and S3 obtaining an entity vector and a relationship vector according to the CTKE model and calculating the entity vector and the relationship vector learned by the CTKE model in a vector space to complete entity prediction or relationship prediction so as to complete knowledge base completion. According to the method the knowledge graph with a complex relationship can be dealt with and the strong learning ability is shown.";2021
"The invention provides a method and device for determining an entity chain index result and belongs to the technical field of entity chain indexes. The method comprises the steps of determining a target entity in a target text and obtaining candidate entities corresponding to the target entity from a knowledge base; obtaining a plurality of candidate features according to the target text and a candidate text where the candidate entity is located the candidate text being a context book where the candidate entity is located; inputting the plurality of candidate features into a sensor to obtain a feature value of each candidate entity output by the sensor; and under the condition that the maximum feature value in the plurality of feature values is not less than a preset threshold taking a candidate entity corresponding to the maximum feature value as an entity chain index result of the target entity. The accuracy of the chain index result is improved.";2021
The present disclosure describes methods and systems to predict predicate metadata parameters in knowledge graphs via neural networks. The method includes receiving a knowledge graph based on a knowledge base including a graph-based dataset. The knowledge graph includes a predicate between two nodes and a set of predicate metadata. The method also includes determining a positive structural score adjusting each positive structural score based on each corresponding significance parameter generating a synthetic negative graph-based dataset determining a negative structural score for each synthetic negative triple of the synthetic negative graph-based dataset adjusting each negative structural score based on each corresponding significance parameter determining a significance loss value based on the adjusted positive structural scores and the adjusted negative structural scores and determining a likelihood score of a link between a third node and a fourth node in the knowledge graph based on the significance loss value.;2021
"The invention discloses a named entity linking method based on knowledge base feature extraction. The method comprises the following steps of (1) extracting triple entries with specified features from Freebase data dump to form a relational data table and saving the relational data table in a knowledge base; (2) designing a complex rule and searching for a plurality of Freebase Objects which are closely related to entity reference from the knowledge base as candidate entities; (3) using a statistical-based method to design and extract the entity reference and features of the candidate entities and Embedding is conducted on the features; (4) Embedding for feature extraction is used as an input of a multi-layer neural network to obtain the probability of each candidate entity as a target entity and returning to a Freebase MID of the candidate entity with the highest probability is conducted. The method combines a complex rule-based candidate generation technology and a statistical learning-based candidate sorting technology and a set of processing framework suitable for entity linking is established for a specific type of named entities so that convenience is provided for auser to obtain an entity linking result by adopting a batch processing manner.";2018
"The invention discloses a method and a device for determining similarity between entity corpora. According to the training device a training set is randomly extracted from a preset entity corpus; pairing the entity corpora in the training set to obtain a training entity corpus relationship pair; obtaining a matrix vector corresponding to the training entity corpus relationship pair utilizing a convolutional neural network to process the matrix vector; obtaining a training classification probability of the training entity corpus relationship pair. Therefore the training of the convolutionalneural network is completed. Therefore an accurate question answer search function can be provided for the user by using the convolutional neural network and the intelligent customer service of the preset entity corpus. Therefore the technical problem that in the prior art for an intelligent customer service system due to the fact that information input by a user is inaccurate the intelligentcustomer service system cannot find a correct answer from a knowledge base of the intelligent customer service system and the user experience is reduced can be solved.";2020
