Abstract,Year
The invention discloses a distributed near-end strategy optimization method based on cognitive behavior knowledge and application thereof and the method comprises the following steps: employing cognitive behavior knowledge to establish a cognitive behavior model of an Agent introducing the cognitive behavior model into deep reinforcement learning and constructing a deep reinforcement learning framework based on cognitive behavior knowledge based on the deep reinforcement learning framework providing a distributed near-end strategy optimization algorithm based on cognitive behavior knowledge and quantitatively designing a guide mode of the cognitive behavior model for Agent strategy updating and achieving continuous learning of the Agent on the basis of cognitive behavior knowledge. According to the method provided by the invention cognitive behavior knowledge can be effectively utilized and strategy updating is carried out on the basis so that the learning efficiency of the Agent is improved.,2021
The invention provides a telephone bank navigation method and device electronic equipment and a storage medium which can be applied to the technical field of artificial intelligence or the field of finance and can locate a current navigation node for an incoming customer by constructing a knowledge base of telephone bank business and another matched navigation node in child nodes of the knowledge base is searched from the positioned navigation node according to the navigation intention of the client so as to provide telephone bank navigation service for the client and finally output business knowledge. On the basis of the method automatic adjustment of the navigation nodes can be realized the knowledge hit rate of customers is improved the overall service time of telephone banks is shortened and services in corresponding business fields are quickly provided for the customers.,2021
The invention discloses an intelligentized operation fault prediction method of an elevator control system. The method comprises the following steps: (1) establishing a typical fault prediction expert knowledge base according to correlation analysis of elevator operation monitoring signals and sensor data and various faults and carrying out fault prediction through knowledge base rule reasoning (2) monitoring relevant signals of a controller and the sensor data collecting the monitoring data and standardizing the monitoring data to use as sample data of neural network learning (3) establishing a model of a hierarchical successively-connected neural network system for fault prediction and utilizing the collected sample data for neural network training and learning and (4) inputting real-time signals into the fault prediction system and then fusing a fault prediction result obtained by expert knowledge reasoning and a fault prediction result of hierarchical successively-connected neural networks. According to the method the accuracy of prediction is improved the operation stability and safety of an elevator system are greatly improved a technical threshold of elevator control system repair and maintenance is reduced and elevator maintenance and repair are enabled to be more accurate simpler and faster,2017
The invention discloses a blast furnace molten iron silicon content prediction and compensation method for fluctuating furnace conditions which belongs to the field of industrial process monitoring and comprises the following steps: (1) acquiring historical blast furnace smelting data and taking the acquired historical blast furnace smelting data as a sample set (2) selecting an input set andpredicting the silicon content Sipre of the blast furnace molten iron based on a BP neural network online prediction model (3) constructing a fluctuation knowledge base (4) identifying the fluctuating furnace condition: for a sample to be detected traversing the knowledge base to find a matched sample and identifying the type of the fluctuating furnace condition of the blast furnace and (5) predicting and compensating the silicon content of the molten iron under the fluctuating furnace condition: compensating a prediction result according to the furnace condition type judged in the step (4). According to the method the feature set matched with the fluctuating furnace condition is calculated by utilizing the rough set the fluctuating furnace condition is carried out by constructing the fluctuating knowledge base and the BP neural network and the prediction result of the BP neural network is compensated so that the prediction effect of the molten iron silicon content is effectively optimized.,2019
According to an inference attack resistant distributed multi-task learning privacy protection method and system model training is carried out through various task nodes based on local data and jointmodel training is realized through a knowledge sharing mode. According to the method a privacy protection model training mechanism based on homomorphic cryptography is provided so that task nodes realize multi-task learning model training on the premise of ensuring the privacy of training data the model training efficiency is independent of a sample data volume and the machine learning modeltraining efficiency is improved. A model publishing method based on differential privacy is designed and an identity inference attack initiated can be resisted when a model user accesses a machine learning model . The system comprises a key generation center a central server a task node and a model user. According to the method the data privacy of the task nodes in the model training process and after the release of the model can be ensured and large-scale application of multi-task machine learning is promoted.,2020
The invention aims to provide a ship electric propulsion system fault diagnosis method based on an ABC-SVM expert system knowledge and experience of experts are stored in a knowledge base a supportvector machine optimized by using an artificial bee colony is used in an inference machine the knowledge in the knowledge base is preprocessed and then is used for performing classification trainingon the inference machine and storing a trained model. real-time data collected from the ship electric propulsion system is stored in a dynamic database feature value extraction is conducted the datais input into a trained inference engine whether the ship electric propulsion system breaks down or not is judged which device breaks down is judged and the reason why the fault occurs is explained. Practicability and real-time performance of an expert system are greatly improved the problem of a local optimal solution of the support vector machine is solved to a great extent and the accuracy of fault diagnosis is improved.,2020
The invention discloses a totally-enclosed compressor fault diagnosis method based on knowledge sharing and model migration and belongs to the technical field of compressor fault diagnosis. The method comprises the following steps of 1 data preparation and preprocessing 2 preparing a migration model and independently training the model 3 constructing a discriminator training the discriminator and retraining the target migration model 4 training a classifier and 5 carrying out fault diagnosis. According to the method a target domain device does not need to provide a data label onlypart of unmarked data is provided and the data dependence degree is greatly reduced approaching of a target domain feature vector distribution item source domain feature vector is achieved by utilizing a gradient descent algorithm and model migration is achieved a deep dense connection auto-encoder structure is utilized to achieve unsupervised feature learning and the data dependence degreeis reduced again for super-long time series data such as vibration signals efficient training of the super-long time series data can be achieved through the deep dense connection network structureand the data use efficiency can be greatly improved by folding one-dimensional super-long data into a two-dimensional data structure.,2020
The invention discloses a whole vehicle electromagnetic interference suppression method based on data driving which improves the anti-electromagnetic interference capability of an electric vehicle and ensures the stability of the whole vehicle. Data collection is carried out on electromagnetic interference source devices modules and systems in the electric vehicle iterative analysis is carriedout based on big data electromagnetic interference estimation and compensation calculation are carried out in a data driving mode deep learning is carried out based on the big data from the perspective of the whole vehicle entities are extracted knowledge modeling is carried out a suppressor is designed by fusing knowledge driving and data driving models and acts on a whole vehicle switchingdevice and a multi-stage filter. According to the invention possible electromagnetic interference of the electric vehicle can be effectively suppressed and the anti-electromagnetic interference capability of the whole vehicle is improved.,2020
The invention discloses a model migration method for solving a data dependence problem in heat pump system fault diagnosis and belongs to the technical field of refrigeration air-conditioning systemoperation and maintenance. The method comprises the following steps: step 1 preparing data of a source domain and a target domain 2 preparing a migration model and independently training the model3 performing joint optimization 4 performing model grafting and self-adaptive layer fine adjustment step 5 performing classifier training and step 6 verifying the fault diagnosis precision. Knowledge sharing is realized by adopting a model migration method machine learning is performed by utilizing simulation data acquired by an experimental environment learned knowledge is migrated to atarget system and finally fault diagnosis of the target system is achieved. Any marked data of a target system is not needed in the whole learning process only a small amount of unmarked operationdata is needed the unmarked operation data is usually very convenient to obtain and extra cost cannot be increased.,2020
The invention provides a heavy gas turbine control system analog input module BIT design method based on an expert system and a random forest classifier and belongs to the field of testing and artificial intelligence. The method is used for improving the reliability of an existing analog input module and solving the problem that the BIT false alarm rate of the analog input module is high. The method comprises the following steps: constructing an analog input module expert system knowledge base by adopting a production rule through a knowledge acquisition mechanism and designing an expert system inference engine by adopting a forward inference strategy carrying out feature extraction on BIT detection data by adopting an LMD algorithm training decision trees by adopting a CART algorithm for extracted feature vectors properly pruning each decision tree generating a random forest for each tree in a voting manner carrying out state recognition on the BIT detection data by the random forest sending the detection data with intermittent states filtered out into an expert system inference engine and enabling the expert system to give a diagnosis result to realize accurate fault positioning of the analog quantity input module.,2021
The invention provides a multi-intersection intelligent traffic signal lamp control method based on federal reinforcement learning and the method mainly comprises the following steps: 1 carrying out the precise modeling of a real intersection and simulating the urban traffic and traffic flow through traffic simulation software Cityflow 2 allowing each reinforcement learning agent to use an Advantageous Actor-Criteric (A2C) reinforcement learning algorithm controlling traffic lights in real time according to the traffic flow condition of the intersection and cooperatively training the reinforcement learning agent of each intersection by a cloud server 3 providing a new federal reinforcement learning framework based on cloud-edge collaboration and 4 introducing a gradient sharing and parameter transmission process similar to federated learning and realizing knowledge sharing between reinforcement learning agents. The invention further provides a multi-intersection intelligent traffic signal lamp control system based on federal reinforcement learning. According to the method and the system a good control effect is achieved in the aspect of the average driving time of the vehicle and the global optimal solution can be rapidly converged.,2021
The invention discloses a radio frequency parameter degradation model of an MOS transistor using a knowledge-based neural network. The model can fit a corresponding relationship between a degradationcondition of a tested direct current parameter and a degradation condition of a tested radio frequency parameter. A process is mainly divided into three steps: 1 performing HCI degradation experimenton an MOS tube used for modeling to obtain HCI degradation conditions of direct current parameters and radio frequency parameters under different direct current stresses 2 establishing a knowledge-based neural network structure as an initial model and 3 taking a test result as training and test data and continuously adjusting and optimizing a model structure by training a neural network to obtain an optimal model.,2021
The invention provides a size control method and a size control system based on artificial intelligence and belongs to the field of size control. The size control method comprises the following steps: taking full-cycle size information related standard information and a knowledge base of a target product under various conditions as input information and corresponding size problems serving the adjustment scheme and the size performance prediction result as output information and establishing an artificial intelligence size prediction model of the target product according to an artificial intelligence algorithm inputting the size information of a target product belonging to the target product into the artificial intelligence size prediction model to obtain a size problem an adjustment scheme and a size performance prediction result of the target product and sending the size problem the adjustment scheme and the size performance prediction result of the target product to a corresponding size control unit. The size control method and the size control system can improve the efficiency of size problem prediction.,2021
The invention discloses a straddle type monorail turnout monitoring and maintenance system based on artificial intelligence. The straddle type monorail turnout monitoring and maintenance system comprises a data acquisition and exchange module an operation control display terminal a maintenance monitoring display terminal a cloud database an artificial intelligence module and mobile communication equipment. The functions of the system comprise diagnosis identification and alarm functions of turnout mechanical component faults and abnormal object interference signs in a traffic interval and real-time monitoring of the operation state of the turnout by operation control personnel. According to the invention the operation and maintenance system adaptive to the single turnout is established through the self-learning ability. The artificial intelligence module is used for diagnosing turnout mechanical component faults and abnormal object interference signs in a traffic interval and operation control personnel and maintenance personnel carry out centralized judgment and feedback work on alarm information so that the knowledge base content of the artificial intelligence module is continuously enriched and the problem of knowledge updating is solved therefore the accuracy and the timeliness of turnout fault detection are improved.,2021
The invention provides a feature extraction method based on artificial feature and convolutional feature fusion of a deep neural network. The method comprises the following steps: acquiring fault prediction data of an electro-hydraulic steering engine performing comprehensive preprocessing on the fault data to obtain a training data set and a test data set respectively sending the training data set into a convolutional neural network primary auto-encoder and an artificial time domain feature extraction module based on expert knowledge performing feature extraction based on the convolutional neural network in the convolutional neural network primary auto-encoder to obtain a convolutional feature set performing time domain feature extraction based on expert knowledge in the artificial time domain feature extraction module to obtain an artificial time domain feature set performing feature splicing on the convolution feature set and the artificial time domain feature set to obtain a fusion feature and sending the fusion features to a secondary auto-encoder and a decoder and performing depth feature fusion based on the stacked auto-encoder.,2021
The invention relates to a low-altitude target knowledge auxiliary intelligent electromagnetic sensing method and system and a storage medium and the method comprises the steps of constructing a dynamically updated multi-source high-dimensional knowledge base and carrying out the compression of mass information generated by electromagnetic sensing from a knowledge level and a data level and obtaining a load knowledge base according to the load knowledge base establishing a space-time-frequency prediction model of signal occurrence and making a corresponding sensing strategy scanned according to the prediction model so as to complete electromagnetic sensing with high efficiency judging whether the sensing result belongs to the category of a load knowledge base or not and if so performing corresponding feature modeling by adopting a small-sample low-complexity machine learning method and if not interacting the electromagnetic information intelligently sensed by the load with the multi-source high-dimensional knowledge base by adopting a reinforcement learning method to obtain reward and punishment guidance obtaining knowledge in an action evaluation environment and making a new decision. According to the invention the order of magnitude of the time space and frequency electromagnetic information sensing efficiency can be improved.,2021
The invention discloses a boiler combustion optimization system and method based on numerical simulation and artificial intelligence and the system comprises: a data collection module which is connected with a DCS control system and is used for collecting the real-time operation data of the DCS a simulation data management module which is used for simulating DCS real-time operation data by using a numerical simulation technology to obtain real-time physical field information of combustion equipment an optimization data management module which is used for extracting the physical field information and the operation data through rules to construct an associated knowledge base and constructing an optimization algorithm model in combination with the associated knowledge base and the operation data and a display module which is used for boiler combustion operation physical field information and optimization suggestion instructions. Mass data resources and a numerical simulation technology are fully utilized the automation and intelligent control degree and the capacity of quickly adapting to load changes of combustion equipment are improved and precise and collaborative control over operation of a combustion system is achieved.,2021
The invention discloses a satellite assembly temperature field determination method based on unsupervised learning and the method comprises the steps: approximately describing the structure of a satellite assembly and building a structural model of the layout of the satellite assembly generating a plurality of training data sets comprising satellite component layouts and a plurality of test data sets comprising satellite component layouts and corresponding temperature field distribution constructing an unsupervised learning loss function embedded with physical knowledge based on the unsupervised learning loss function training a deep learning model by using the training data sets and the test data sets to fit a mapping relationship between satellite component layout and temperature field distribution and inputting the satellite component layout of which the temperature field distribution is to be calculated into the trained deep learning model and obtaining the temperature field distribution corresponding to the satellite component layout. According to the method through utilization of the deep learning model and the unsupervised learning loss function with embedded physical knowledge rapid calculation of satellite assembly temperature field distribution can be achieved required calculation resources and workloads are few and the precision and efficiency are high.,2021
The invention provides a circulating pump bearing fault detection method and system and the method comprises the steps: inputting a preprocessed training set sample into a preset LSTM-CNN model for training and determining a network weight parameter of the preset LSTM-CNN model determining a bearing fault detection model according to the network weight parameters and a preset LSTM-CNN model and inputting the test set sample into the bearing fault detection model so as to carry out fault detection on the circulating pump in the circulating water culture pond. According to the circulating pump bearing fault detection method and system provided by the invention data preprocessing is firstly completed during model training domain adaptation is performed on the source domain original data and the target domain original data by adopting a transfer learning method knowledge transfer of the source domain original data is realized circulating water culture production does not need to be destroyed. The high-precision fault diagnosis of the circulating pump can be completed without labeling the sample so that the safety of the circulating water culture system is ensured and the effects of safe production and efficient yield increase are achieved.,2021
The invention discloses a hydroponic fertilizer applicator. The hydroponic fertilizer applicator comprises a data acquisition unit a data transmission unit a fertilizer application control unit anda water and fertilizer all-in-one machine wherein the data acquisition unit is used for acquiring hydroponic crop growth process data and transmitting the acquired data to the fertilizer applicationcontrol unit at fixed time intervals through the data transmission unit the fertilizer application control unit is used for storing and preprocessing the crop growth process data constructing a water and fertilizer proportioning model based on deep learning and an expert knowledge base and controlling the water and fertilizer all-in-one machine according to a water and fertilizer proportion required by crop growth given by utilizing the water and fertilizer proportioning model and a set control strategy and the water-fertilizer all-in-one machine is used for executing irrigation and fertilization operation according to the water and fertilizer proportioning model and the control strategy. According to the invention water and fertilizer equipment parameter configuration is carried outthrough the water and fertilizer proportioning model so that dynamic real-time operation on hydroponic crop fertilizer proportioning water-liquid mixing filtering and fertilizer adding is realizedmore quickly and intelligent control for water and fertilizer equipment is realized.,2021
Mechanisms are provided for latent ambiguity handling in natural language processing. The method may include: providing an annotated semantic graph based on a knowledge base in which nodes representing semantic concepts are linked by semantic relationships wherein one or more nodes are annotated to indicate a latent ambiguity of the semantic concept processing a natural language input by activation of the annotated semantic graph during processing when encountering an annotated node indicating a latent ambiguity of the semantic concept applying a pre-defined latent ambiguity process to the node and replacing any annotated nodes indicating a latent ambiguity of the concept remaining in an output of the processing of the natural language input with an alternative node from the semantic graph.</p>,2019
A method apparatus and device are for extracting information. The method includes: acquiring an annotated corpus which includes a plurality of sample sentences and annotated information sets corresponding to the sample sentences constructing an input sequence and an output sequence based on the sample sentences and the annotated information sets corresponding to the sample sentences obtaining an information extraction model generating the output sequence from the input sequence by carrying out training with a deep learning method and inputting a to-be-processed sentence into the information extraction model to extract a knowledge information set included in the to-be-processed sentence. The annotated information set includes information of at least one piece of the following types of knowledge to be extracted from corresponding sample sentences: knowledge based on verbs or prepositions knowledge based on noun attributes knowledge of entity description and knowledge of a relationship between an entity and a concept.</p>,2019
The invention relates to a joint information extraction method based on weak supervised learning and belongs to the field of natural language processing. The objective of the invention is to solve the problems of time-consuming and labor-consuming data set labeling caused by supervised learning-based information extraction and error propagation caused by dual tasks (information extraction is generally divided into two sub-tasks entity identification and relationship extraction). According to the information extraction method information extraction is converted into a task of serialized dataannotation a knowledge representation learning method is combined a joint information extraction form is adopted and a public knowledge base is combined with a small number of data sets so that weak supervised learning joint information extraction is realized. We hope to train an information extraction model capable of carrying out more accurate information extraction on a text. According tothe method weak supervised learning is combined with a strategy of joint information extraction the accuracy and recall rate of information extraction are improved through training of an end-to-endnetwork and the method is substantially improved in performance compared with a current information extraction method.,2020
The invention discloses a domain knowledge graph construction method and system electronic equipment and a medium and a knowledge alignment method comprises the following steps: a tagged corpus data acquisition step of performing knowledge tagging on a domain corpus according to a domain knowledge system to obtain tagged corpus data a domain knowledge extraction model construction step of obtaining knowledge in the tagged corpus data through the domain knowledge extraction model and calculating the knowledge confidence of the obtained knowledge a domain knowledge graph construction step of after manually checking the knowledge with low knowledge confidence automatically constructing a domain knowledge graph by the manually checked knowledge and the knowledge with high knowledge confidence and a knowledge fusion step of after corresponding knowledge is selected from different domain knowledge maps fusing the knowledge selected from the different domain knowledge maps into the automatically formed domain knowledge map to obtain a comprehensive domain knowledge map.,2021
The invention discloses a marine auxiliary engine equipment fault intelligent early warning design method based on artificial intelligence in the technical field of fault intelligent early warning. The method comprises the following steps: 1 naming an entity extraction rule and a semantic sentiment analysis algorithm 2 calling data of samples in the historical knowledge base for study and judgment and performing secondary processing on operation data of auxiliary equipment 3 obtaining key operation information of the auxiliary machine equipment and 4 extracting actual operation data and key operation indexes of the marine auxiliary equipment carrying out data classification and selecting classification analysis in a manual supervision mode to realize intelligent monitoring and state self-analysis of the ship auxiliary equipment. Deep utilization of historical operation data of the ship auxiliary equipment is realized heterogeneous data intercommunication and information fusion are fully realized the intelligent level of operation and maintenance can be improved in actual engineering application and the maintenance cost of ship auxiliary equipment can be reduced.,2021
The invention provides a method for speculating the meanings of database fields which can predict the meanings of fields with unknown meanings in a database according to the characteristics of the database fields and an accumulated knowledge base and can optimize an algorithm according to the selection of a user when the user confirms accuracy of the meanings after the user confirms the meanings repeatedly. The knowledge base can be continuously accumulated and the purpose of accurately predicting the meaning of the database field in the same scene is achieved. The knowledge base and the machine learning technology are combined the unknown Chinese annotations of the fields are guessed through multiple methods the real meanings of the unknown fields can be well obtained and good earlier-stage work is performed for next-step data management work.,2021
The subject of the invention is a method of network traffic management in information and communication systems (in particular in active network devices) where it is desired/operated/insufficient to use the QoS (Quality of Service) characteristics in order to improve the quality of information and communication services. The method lies in the fact that by using a multilayer neural network knowledge base and feedback the system is able to autonomously adjust QoS parameters and settings in the device to the existing conditions and circumstances.,2016
The invention belongs to the field of intensive aquaculture and relates to a method for controlling the dissolved oxygen content in a water body based on the combination of a fuzzy reasoning method an expert system control method and a conventional PID control method. According to the invention on the basis of the given value of dissolved oxygen the actual value of the sampling and a previous error the dissolved oxygen deviation E and the deviation change rate EC are respectively calculated and fuzzified. The fuzzified error E and the fuzzified deviation change rate EC are adopted as the input language variables of a fuzzy controller. Meanwhile the fuzzy reasoning is carried out to obtain the fuzzy amount of a control parameter increment. An expert system knowledge base is used for reasoning and the inverse fuzzy operation is carried out to obtain accurate variables delta Kp delta Ki and delta Kd. Finally the accurate variables are combined with preset values obtained by a conventional setting method and then final control variables are obtained.,2017
The invention discloses a metallurgic enterprise gas pipe network intelligent coordination control system which is characterized by being provided with a blast furnace gas generation quantity dynamicDMC prediction expert system a blast furnace hot-blast stove gas consumption quantity dynamic DMC prediction expert system a gas-fired boiler gas consumption quantity dynamic DMC prediction expert system a blast furnace hot-blast stove and gas pipe network pressure intelligent coordination control system and a gas-fired boiler and gas pipe network pressure intelligent coordination control system. The dynamic DMC prediction expert systems are adopted historical data is used as a knowledge base a blast furnace gas generation quantity a blast furnace hot-blast stove gas consumption quantityand a gas-fired boiler gas consumption quantity are dynamically predicted and the aim of intelligently coordinating a pressure of a gas pipe network is fulfilled. A hot-blast stove and a gas-fired boiler are dynamically regulated by adopting an intelligent algorithm the pressure of the gas pipe network is stabilized and dynamic balance of the gas pipe network is implemented.,2018
The invention discloses an electrohydrodynamics jet flow forming embedded intelligent control system and method. The system comprises an input device a closed-loop monitoring part a control system interface an expert system a jet flow forming controller and a jet flow forming device. According to the expected width of a deposited pattern formed through electrohydrodynamics spraying forming ofa solution to be sprayed in combination with historical experiment data of electrohydrodynamics spraying forming a pattern width inference rule built in a knowledge base is applied the optimal process parameters of the expected width of the pattern currently formed through sprayed is reasoned out in the electrohydrodynamics spraying forming process the width of the deposited pattern can be collected in real time according to the changes of the pattern width the process parameters are subjected to real-time closed-loop control electrohydrodynamics spraying forming is achieved the embedded type intelligent control system is adopted and needs of data real-time collection vision real-time monitoring and process parameter real-time control are met so that the electrohydrodynamics spraying forming efficiency and forming quality are improved.,2018
An industrial machine predictive maintenance system may include an industrial machine data analysis facility that generates streams of industrial machine health monitoring data by applying machine learning to data representative of conditions of portions of industrial machines received via a data collection network. The system may include an industrial machine predictive maintenance facility that produces industrial machine service recommendations responsive to the health monitoring data by applying machine fault detection and classification algorithms thereto. The system detects an operating characteristic of an industrial machine such as vibration using one or more sensors of a mobile data collector and identify as a condition of the industrial machine a characteristic for the industrial machine within the knowledge base. The system can determine severity of the condition and predict and execute a maintenance action to perform against the industrial machine based on the severity of the condition.</p>,2019
An automated unloader system and method. A process performed by an automatic unloader system includes performing an automatic unloading operation of parcels from a container. The process includes monitoring the automatic unloading operation using a plurality of sensors. The process includes automatically detecting an exception based on current sensor data and a knowledge base storing past sensor data. The process includes automatically resolving the exception using the knowledgebase and using resolution knowledge generated from a previous manual resolution by an operator of a corresponding type of exception.</p>,2019
A computer implemented method for self-learning of a control system. The method includes creating an initial knowledge base. The method learns first principles using the knowledge base. The method creates initial control commands derived from the knowledge base. The method generates constraints for the control commands. The method performs constrained reinforcement learning by executing the control commands with the constraints and observing feedback to improve the control commands. The method enriches the knowledge base based on the feedback.</p>,2020
