Ilce,OdaSayisi, NetM2,BulunduguKat,BinaYasi,IsınmaTipi,KatSayisi,KrediyeUygunluk,EsyaDurumu,BanyoSayisi,YapininDurumu,Takas,SatisFiyati
Pamukkale,4,150,Üst Kat,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,2399000
Pamukkale,3,100,Orta Kat,31,Kombi,6,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,3300000
Pamukkale,4,135,Alt Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,4000000
Pamukkale,5,190,Alt Kat,31,Kombi,5,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,4750000
Pamukkale,3,115,Alt Kat,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,2550000
Pamukkale,7,180,Alt Kat,4,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,İkinci El,Hayır,4050000
Pamukkale,4,110,Alt Kat,11,Kombi,3,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,3349000
Pamukkale,3,90,Alt Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Evet,1550000
Pamukkale,3,60,Alt Kat,9,Kombi,2,Uygun,Eşyalı,1,İkinci El,Hayır,1590000
Pamukkale,4,145,Alt Kat,30,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1750000
Pamukkale,3,90,Alt Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000
Pamukkale,4,157,Alt Kat,6,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3600000
Pamukkale,3,115,Alt Kat,35,Klima,8,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,1449999
Pamukkale,10,320,Alt Kat,9,Kombi,4,Uygun,Eşyalı Değil,4,İkinci El,Evet,5400000
Pamukkale,7,300,Orta Kat,12,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,3300000
Pamukkale,4,140,Alt Kat,15,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2600000
Pamukkale,4,130,Alt Kat,28,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1750000
Pamukkale,4,150,Alt Kat,15,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1425000
Pamukkale,2,48,Alt Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1200000
Pamukkale,3,100,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000
Pamukkale,3,105,Üst Kat,21,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2050000
Pamukkale,3,70,Alt Kat,6,Kombi,2,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1900000
Pamukkale,2,55,Alt Kat,4,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1375000
Pamukkale,3,65,Alt Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,1280000
Pamukkale,3,100,Orta Kat,33,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,3300000
Pamukkale,4,190,Alt Kat,31,Kombi,5,Uygun değil,Eşyalı Değil,1,İkinci El,Hayır,4950000
Pamukkale,3,110,Alt Kat,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,1609000
Pamukkale,3,65,Alt Kat,4,Merkezi,3,Uygun,Eşyalı,1,İkinci El,Evet,1750000
Pamukkale,3,110,Alt Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1900000
Pamukkale,4,120,Alt Kat,36,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1450000
Pamukkale,3,65,Alt Kat,7,Merkezi,4,Bilinmiyor,Eşyalı,1,Sıfır,Hayır,1275000
Pamukkale,2,45,Alt Kat,2,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1500000
Pamukkale,2,54,Orta Kat,6,Kombi,7,Uygun,Eşyalı,1,Sıfır,Evet,1390000
Pamukkale,2,45,Alt Kat,6,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1099000
Pamukkale,4,130,Alt Kat,35,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2000000
Pamukkale,4,147,Alt Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,5090000
Pamukkale,3,110,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1750000
Pamukkale,4,120,Alt Kat,15,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Evet,1700000
Pamukkale,3,85,Alt Kat,30,Klima,3,Uygun,Eşyalı,1,İkinci El,Hayır,1200000
Pamukkale,3,60,Alt Kat,3,Kombi,3,Uygun değil,Eşyalı,1,İkinci El,Hayır,1450000
Pamukkale,3,100,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000
Pamukkale,5,210,Alt Kat,12,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,5100000
Pamukkale,3,65,Alt Kat,5,Kat Kaloriferi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1600000
Pamukkale,5,160,Alt Kat,26,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2250000
Pamukkale,4,150,Alt Kat,30,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1900000
Pamukkale,4,140,Alt Kat,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2650000
Pamukkale,3,105,Alt Kat,35,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1350000
Pamukkale,3,125,Orta Kat,30,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1450000
Pamukkale,6,200,Alt Kat,10,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3290000
Pamukkale,3,110,Alt Kat,6,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1890000
Pamukkale,4,130,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,5090000
Pamukkale,2,50,Alt Kat,6,Kombi,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1099000
Pamukkale,4,130,Üst Kat,25,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2000000
Pamukkale,4,135,Alt Kat,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2410000
Pamukkale,4,155,Alt Kat,17,Kat Kaloriferi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,3350000
Pamukkale,4,170,Orta Kat,20,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000
Pamukkale,3,90,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,1950000
Pamukkale,2,40,Alt Kat,11,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1049000
Pamukkale,6,190,Üst Kat,15,Kombi,7,Uygun,Eşyalı Değil,2,İkinci El,Evet,3200000
Pamukkale,2,60,Orta Kat,10,Kombi,7,Uygun,Eşyalı,1,İkinci El,Evet,1390000
Pamukkale,2,60,Alt Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1020000
Pamukkale,6,220,Alt Kat,36,Merkezi,3,Uygun,Eşyalı Değil,2,İkinci El,Evet,3400000
Pamukkale,2,48,Alt Kat,4,Kombi,2,Uygun,Eşyalı,1,İkinci El,Evet,1375000
Pamukkale,4,120,Orta Kat,33,Kombi,8,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1600000
Pamukkale,3,110,Alt Kat,5,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2500000
Pamukkale,4,185,Alt Kat,3,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,4750000
Pamukkale,1,22,Alt Kat,5,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Hayır,850000
Pamukkale,3,95,Alt Kat,1,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Evet,2100000
Pamukkale,3,110,Alt Kat,9,Kombi,4,Bilinmiyor,Eşyalı Değil,1,İkinci El,Hayır,2200000
Pamukkale,3,130,Orta Kat,26,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1800000
Pamukkale,2,45,Alt Kat,4,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1075000
Pamukkale,3,65,Alt Kat,8,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,2250000
Pamukkale,4,170,Orta Kat,20,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,2750000
Pamukkale,3,100,Orta Kat,0,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2350000
Pamukkale,3,110,Alt Kat,12,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1799000
Pamukkale,4,114,Alt Kat,6,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2445000
Pamukkale,3,120,Alt Kat,6,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,2050000
Pamukkale,4,150,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,2950000
Pamukkale,4,135,Alt Kat,0,Kombi,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,4500000
Pamukkale,7,200,Orta Kat,13,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2750000
Pamukkale,3,90,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2350000
Pamukkale,4,140,Alt Kat,16,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2480000
Pamukkale,4,173,Alt Kat,17,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,3650000
Pamukkale,4,100,Alt Kat,31,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1425000
Pamukkale,3,50,Alt Kat,2,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,2299000
Pamukkale,2,48,Alt Kat,6,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1335000
Pamukkale,3,95,Alt Kat,22,Merkezi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1675000
Pamukkale,2,40,Alt Kat,4,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,970000
Pamukkale,3,100,Alt Kat,5,Kombi,2,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2850000
Pamukkale,3,61,Alt Kat,6,Kombi,3,Uygun,Eşyalı,1,Sıfır,Evet,1590000
Pamukkale,7,230,Üst Kat,8,Kombi,8,Bilinmiyor,Eşyalı Değil,2,İkinci El,Hayır,3000000
Pamukkale,4,140,Alt Kat,25,Merkezi,9,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2600000
Pamukkale,2,50,Alt Kat,7,Klima,4,Uygun,Eşyalı,1,İkinci El,Hayır,1350000
Pamukkale,3,125,Alt Kat,26,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1950000
Pamukkale,4,130,Alt Kat,32,Merkezi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,3750000
Pamukkale,4,140,Alt Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,4500000
Pamukkale,3,100,Alt Kat,0,Kombi,3,Uygun,Bilinmiyor,1,Sıfır,Evet,2999000
Pamukkale,4,130,Alt Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,3200000
Pamukkale,4,140,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3800000
Pamukkale,3,90,Alt Kat,1,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1450000
Pamukkale,4,120,Alt Kat,0,Kombi,2,Uygun,Eşyalı Değil,1,Sıfır,Hayır,2825000
Pamukkale,5,160,Alt Kat,22,Kombi,3,Uygun,Eşyalı Değil,2,İkinci El,Bilinmiyor,2450000
Pamukkale,4,160,Üst Kat,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2398000
Pamukkale,2,25,Alt Kat,2,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,868000
Pamukkale,2,45,Alt Kat,0,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1290000
Pamukkale,4,165,Alt Kat,16,Merkezi,4,Uygun,Eşyalı Değil,2,İkinci El,Evet,5200000
Pamukkale,4,150,Alt Kat,8,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Evet,4100000
Pamukkale,2,52,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı,1,Sıfır,Evet,1650000
Pamukkale,3,100,Alt Kat,20,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1890000
Pamukkale,3,75,Alt Kat,8,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1400000
Pamukkale,3,100,Orta Kat,0,Yerden Isıtma,7,Uygun,Eşyalı Değil,1,Sıfır,Evet,2000000
Pamukkale,3,65,Alt Kat,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1550000
Pamukkale,4,128,Alt Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,2950000
Pamukkale,3,85,Alt Kat,0,Yerden Isıtma,2,Uygun,Eşyalı Değil,1,Sıfır,Evet,1850000
Pamukkale,4,100,Alt Kat,5,Kombi,3,Uygun,Eşyalı,2,İkinci El,Evet,1500000
Pamukkale,3,125,Alt Kat,30,Kombi,6,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,2200000
Pamukkale,3,95,Alt Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3300000
Pamukkale,5,150,Orta Kat,0,Yerden Isıtma,4,Uygun,Eşyalı Değil,2,Sıfır,Hayır,3490000
Pamukkale,3,85,Alt Kat,7,Kombi,4,Uygun,Eşyalı Değil,1,Sıfır,Evet,1700000
Pamukkale,3,50,Alt Kat,11,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1600000
Pamukkale,4,185,Alt Kat,35,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2500000
Pamukkale,2,33,Alt Kat,25,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,1395000
Pamukkale,4,125,Orta Kat,25,Merkezi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1950000
Pamukkale,2,40,Alt Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,950000
Pamukkale,3,70,Alt Kat,7,Yerden Isıtma,4,Uygun,Eşyalı,1,İkinci El,Hayır,1530000
Pamukkale,4,140,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,5250000
Pamukkale,3,105,Alt Kat,7,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1889000
Pamukkale,3,73,Orta Kat,7,Kombi,7,Uygun,Eşyalı,1,Sıfır,Evet,1625000
Pamukkale,2,45,Alt Kat,10,Yerden Isıtma,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1080000
Pamukkale,2,50,Alt Kat,5,Kombi,5,Uygun,Eşyalı,1,İkinci El,Evet,1299000
Pamukkale,3,90,Alt Kat,35,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1375000
Pamukkale,3,90,Alt Kat,2,Yerden Isıtma,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,2150000
Pamukkale,3,100,Alt Kat,11,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Bilinmiyor,1780000
Pamukkale,2,35,Alt Kat,8,Kombi,4,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,975000
Pamukkale,5,160,Alt Kat,27,Kombi,3,Bilinmiyor,Eşyalı Değil,1,İkinci El,Evet,2100000
Pamukkale,7,400,Alt Kat,11,Kombi,4,Uygun,Eşyalı Değil,3,İkinci El,Hayır,7600000
Pamukkale,3,85,Alt Kat,4,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1699000
Pamukkale,5,150,Orta Kat,0,Kombi,4,Uygun,Eşyalı Değil,2,Sıfır,Evet,3499999
Pamukkale,4,135,Üst Kat,21,Kombi,5,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1900000
Pamukkale,2,40,Alt Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1200000
Pamukkale,3,70,Alt Kat,15,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1600000
Pamukkale,4,138,Orta Kat,25,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Evet,3750000
Pamukkale,3,85,Alt Kat,8,Kombi,5,Uygun,Eşyalı,1,Sıfır,Evet,2149000
Pamukkale,4,103,Alt Kat,22,Kombi,4,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1550000
Pamukkale,3,85,Alt Kat,0,Kombi,4,Uygun,Bilinmiyor,1,Sıfır,Evet,2250000
Pamukkale,2,50,Orta Kat,8,Kombi,7,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1449000
Pamukkale,4,130,Alt Kat,30,Kombi,4,Uygun değil,Eşyalı Değil,1,İkinci El,Bilinmiyor,2450000
Pamukkale,4,165,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,2,Sıfır,Hayır,6500000
Pamukkale,3,64,Orta Kat,4,Kombi,7,Uygun,Eşyalı,1,Sıfır,Evet,1775000
Pamukkale,4,130,Alt Kat,6,Kombi,2,Uygun,Bilinmiyor,1,İkinci El,Bilinmiyor,2650000
Pamukkale,2,48,Alt Kat,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,1075000
Pamukkale,4,165,Alt Kat,15,Kombi,4,Uygun,Eşyalı Değil,2,İkinci El,Hayır,2900000
Pamukkale,2,75,Alt Kat,5,Kombi,8,Uygun,Eşyalı,1,İkinci El,Hayır,1325000
Pamukkale,2,45,Alt Kat,20,Kombi,6,Uygun,Eşyalı,1,İkinci El,Hayır,1299000
Pamukkale,4,130,Alt Kat,15,Kombi,3,Uygun,Eşyalı Değil,2,İkinci El,Evet,2750000
Pamukkale,2,45,Alt Kat,7,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1275000
Pamukkale,3,115,Alt Kat,30,Kombi,7,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1759000
Pamukkale,4,175,Alt Kat,0,Yerden Isıtma,3,Uygun,Eşyalı Değil,1,Sıfır,Evet,3600000
Pamukkale,2,35,Alt Kat,20,Klima,4,Uygun,Eşyalı,1,İkinci El,Evet,865000
Pamukkale,2,48,Alt Kat,5,Kombi,4,Uygun,Eşyalı,1,İkinci El,Evet,1290000
Pamukkale,2,40,Alt Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Evet,918000
Pamukkale,2,50,Orta Kat,15,Klima,5,Uygun,Eşyalı Değil,1,İkinci El,Evet,1250000
Pamukkale,4,120,Alt Kat,26,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1749000
Pamukkale,4,115,Alt Kat,15,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Evet,2550000
Pamukkale,2,50,Alt Kat,6,Kombi,4,Uygun,Eşyalı,1,İkinci El,Hayır,875000
Pamukkale,2,65,Alt Kat,15,Kombi,3,Uygun,Eşyalı,1,İkinci El,Hayır,889000
Pamukkale,2,50,Orta Kat,10,Kombi,7,Uygun,Eşyalı,1,İkinci El,Evet,1465000
Pamukkale,4,75,Alt Kat,1,Yerden Isıtma,4,Uygun,Eşyalı,1,Sıfır,Evet,1990000
Pamukkale,3,55,Alt Kat,5,Kombi,3,Uygun,Eşyalı,1,İkinci El,Bilinmiyor,1380000
Pamukkale,3,109,Alt Kat,3,Kombi,3,Uygun,Eşyalı Değil,1,İkinci El,Hayır,1890000
Pamukkale,3,120,Alt Kat,20,Yerden Isıtma,3,Uygun değil,Eşyalı Değil,1,Sıfır,Evet,2300000
Pamukkale,2,50,Alt Kat,5,Kombi,5,Uygun,Eşyalı,1,İkinci El,Hayır,1270000
