Year,Abstract
2020,"Methods, systems, and computer readable storage media are disclosed for generating a three-dimensional scene based on a natural language phrase by analysing a natural language phrase to determine dependencies involving entities and commands in the natural language phrase, then using the dependencies to generate an entity-command representation of the natural language phrase. The disclosed system may generate a semantic scene graph for the natural language phrase from the entity-command representation to indicate contextual relationships of the entities and commands. The generated semantic scene graph may be compared to semantic scene graphs of the plurality of available three-dimensional scenes to identify a match. The entity-command representation may be converted to the semantic scene graph by mapping a base noun for and entity of the one or more entities into an object node of an object category, and mapping a relationship corresponding to the one or more entities to a relationship node with an edge indicating a direction of the relationship corresponding to one or more entities. The natural language phrase may be used to generate a dependency tree."
2020,"Techniques are disclosed for performing a computer-implemented processing of slide presentation videos to automatically generate index locations corresponding to particular slides within a slide presentation video. In embodiments, a slide presentation video is uploaded to a video processing system. The video processing system performs an image analysis to identify each slide within the slide presentation and determine a time window for each occurrence of each slide. An audio analysis is performed to adjust the time window to the start of a sentence that precedes the introduction of the slide. A user interface includes one or more selectable links associated with each slide that link to a corresponding location within the slide presentation video. Similarly, a processed slide presentation video includes selectable links to index to the corresponding slide of the presentation."
2020,"Embodiments of the present disclosure relate to a method for generating chatting data based on AI, a computer device and a computer-readable storage medium. The method includes: converting chatting data inputted by a user into an input word sequence; converting a tag of the user into a tag word sequence; based on a preset encoding-decoding model with an attention model, predicting according to the input word sequence and the tag word sequence to obtain a target word sequence; and converting the target word sequence into reply data of the chatting data."
2020,"A system including first computer memory storing a full data set representable in rows and columns, a second computer memory storing executable instructions, and processors configured to execute the instructions to cause presentation of data of the full data set on a display including columns of data each having data fields, receive user input identifying a column of the data set, determine items to modify in information in the data fields of the identified column, generate and cause display of an indication of a proposed change action to modify the determined items, and in response to a user input indicating a selection of the indication of the proposed change action, update the presentation of the data based on the change action to modify information displayed in the data fields of the identified column of the data, and store a log of the change action."
2020,"At least some aspects of the present disclosure direct to a system having one or more processors and memories for word filtering. The one or more memories are configured to store a plurality of documents; and store a domain dictionary. The one or more processors are configured to generate a set of tokens for each of the plurality of documents and separate the set of tokens into a subset of dictionary tokens and a subset of non-dictionary tokens using the domain dictionary; The one or more processors are further configured to filter the subset of non-dictionary tokens to produce a subset of filtered non-dictionary tokens, where each of the filtered non-dictionary tokens has an occurrence frequency greater than a predefined threshold."
2020,"A system for automated analysis of legal documents within and across different fields is constructed using a computer system comprising at least one memory, at least one processor, and at least a first plurality of programming instructions stored in the at least one memory and operating on the at least one processor configured to allow the operation on the computer system of additional programming instructions, an extraction processor to identify, extract knowledge from data contained in the legal document and transform it into a common data form. The analysis processor develop a local and global knowledge graphs containing the key entities, relationships and concepts encoded in the text."
2020,"Collaboratively editing a document in a system of sharee clients includes creating a document change, generating a document token for encrypting the document change, encrypting the document change with the document token, making the encrypted document change available to the other sharee clients, and generating a plurality of copies of the sharee document token. Each sharee document token is encrypted with a respective sharee's public key. Each encrypted sharee document token is distributed to respective sharee clients. Each sharee client is configured to: decrypt a sharee document token using a respective private key, decrypt the encrypted document change using the share document token, and consolidate the document change into a document."
2020,"A text content generation (TCG) system to generate text for a text field for a website building system (WBS). The TCG system includes a data gatherer to gather text samples from sources internal and external to the WBS; an analysis engine to analyze the text samples and to identify common text structures, substructures and website contexts; an HDS creator to receive the output of the analysis engine and to create a hierarchical data structure (HDS) definition for each text sample accordingly, the HDS creator to also create associated rules for handling the application and behavior for each HDS, where each HDS describes a text element alternative for a given field role and a content management system (CMS) to store the HDS definitions and the text samples."
2020,"Speech is transcribed to produce a transcript. At least some of the text in the transcript is encoded as data. These codings may be verified for accuracy and corrected if inaccurate. The resulting transcript is provided to a decision support system to perform functions such as checking for drug-drug, drug-allergy, and drug-procedure interactions, and checking against clinical performance measures (such as recommended treatments). Alerts and other information output by the decision support system are associated with the transcript. The transcript and associated decision support output are provided to a physician to assist the physician in reviewing the transcript and in taking any appropriate action in response to the transcript."
2020,"Disclosed herein are systems, computer-implemented methods, and computer-readable media for dialog modeling. The method includes receiving spoken dialogs annotated to indicate dialog acts and task/subtask information, parsing the spoken dialogs with a hierarchical, parse-based dialog model which operates incrementally from left to right and which only analyzes a preceding dialog context to generate parsed spoken dialogs, and constructing a functional task structure of the parsed spoken dialogs. The method can further either interpret user utterances with the functional task structure of the parsed spoken dialogs or plan system responses to user utterances with the functional task structure of the parsed spoken dialogs. The parse-based dialog model can be a shift-reduce model, a start-complete model, or a connection path model."
2020,"A server automatically generates a response on behalf of a first user to a request received from a second user. The server receives configuration information for configuring automatic response generation for the first user, including information identifying the first user, information specifying a type of service provided by the first user including a plurality of parameters that define details for the service, and information providing an availability of the first user to provide the specified type of service. A request is received from the second user. The first user is selected from multiple users to respond to the request. A response is automatically generated using at least some of the received configuration information. The response is automatically transmitted to the second user on behalf of the first user."
2020,"Certain aspects of the present disclosure provide techniques for displaying sentiment of a user text comment. One example method generally includes receiving a text comment comprising a sequence of words, providing a vector sequence representing the sequence of words to a sentiment model configured to output a sequence of sentiment scores for the vector sequence and providing cleaned text to a topic module configured to output relevance scores. The method further includes receiving, from the sentiment model, the sequence of sentiment scores for the vector sequence and receiving, from the topic module, the relevance scores for the cleaned text. The method further includes determining, final sentiment scores for each word of the sequence of words and generating a sentiment visualization for the sequence of words showing the final sentiment scores corresponding to each word of the sequence of words."
2020,"A system for inputting and processing handwritten, multi -character text may comprise a handwriting recognition subsystem, a word completion subsystem, and an audio feedback system. The handwriting recognition system may be configured to capture a series of handwritten characters formed by a user and to convert the handwritten characters into a set of candidate partial text strings. The word completion subsystem may be configured to identify if a candidate partial text string constitutes a word segment and if so, generate one or both of (i) at least one clarifying word and (ii) at least one clarifying phrase that includes the clarifying word. The word segment may be an arbitrary string and not correspond to a valid complete word in a language associated with the system. The audio feedback subsystem may be configured to produce an audio representation of the word segment(s), the clarifying word(s), and the clarifying phrase(s)."
2020,"Systems and methods for rendering a secure document with a text selection capability. The methods comprise: performing first operations, by a computing device, to determine which objects of a source document are non-text objects; creating, by the computing device, an image file representing a graphic consisting of the non-text objects of the source document and a watermark merged together as a single image; drawing the graphic represented by the image file to a base document having a first file format different than a second file format of the source document; and drawing text objects to the base document from the source document so as to create the secure document with the text selection capability."
2020,"A conference support system is for supporting a conference. The conference support system includes one or more information processing apparatuses for implementing various functions of the conference support system. The conference support system includes an inputter configured to input a statement content that is a content of a statement stated by a participant of the conference; a determiner configured to determine a statement type of the statement content, based on the statement content input by the inputter; and an outputter configured to output at least one of the statement content, an evaluation of the conference, and an evaluation of the participant, based on a determination result obtained by the determiner."
2020,"In a system, a server controller is configured to receive at least part of at least one personal dictionary, and is further configured to generate an adapted dictionary using words of the at least part of at least one personal dictionary. The server controller is also configured to transmit at least part of the adapted dictionary to the apparatus configured to use the adapted dictionary during predictive text entry. The apparatus includes an apparatus controller that is configured to receive at least part of an adapted dictionary from the server. The apparatus controller is also configured to utilize at least part of an adapted dictionary when predictive text entry is performed."
2020,"Adapting a polar question to a form answerable by a non-polar question answering system. Entities are identified in the polar question. A set of non-polar questions are generated by removing an entity and using the remaining entities to form a set of questions with the removed entities as the expected answers. The set of non-polar questions are presented to a non-polar question answering system, and a set of answers are received. The set of answers are scored to determine a polar answer to the polar question."
2020,"Techniques are described herein that are capable of intelligently updating a collaboration site or a template that may be used to create a new collaboration site. The collaboration site or the template may be updated to include new features based on (e.g., based at least in part on) a likelihood that the new features will be valuable to users. The likelihood that new features will be valuable to the users may be determined (e.g., derived) using heuristics, machine learning, intelligent user experiences, and/or an understanding of user behavior gathered by a service that provides the collaboration site or the template. The likelihood may be compared to a likelihood threshold to determine whether the collaboration site or the template is to be updated. In accordance with this example, the update may be made if the likelihood is greater than or equal to the likelihood threshold."
2020,"Systems and methods for synthesizing training data for multi-intent utterance segmentation include identifying a first corpus of utterances comprising a plurality of distinct single-intent in-domain utterances; identifying a second corpus of utterances comprising a plurality of distinct single-intent out-of-domain utterances; identifying a third corpus comprising a plurality of distinct conjunction terms; forming a multi-intent training corpus comprising synthetic multi-intent utterances, wherein forming each distinct multi-intent utterance includes: selecting a first distinct in-domain utterance from the first corpus of utterances; probabilistically selecting one of a first out-of-domain utterance from the second corpus and a second in-domain utterance from the first corpus; probabilistically selecting or not selecting a distinct conjunction term from the third corpus; and forming a synthetic multi-intent utterance including appending the first in-domain utterance with one of the first out-of-domain utterance from the second corpus of utterances and the second in-domain utterance from the first corpus of utterances."
2020,"A declarative mechanism is used to manage large documents within a repository. The large documents are sectioned into subdocuments that are linked together by a parent document. The combination of the parent document and subdocument is referred to as a compound document. There are multiple options for configuring rules to break up a source document into a compound document and naming the subdocuments. The compound documents may be queried using statements that treat the compound document as a single XML document, or the parent document of a subdocument may be queried and treated independently. Access control and versioning can be applied at the finer granularity of the subdocument."
2020,"A server comprises a communications module; a processor coupled to the communications module; and a memory coupled to the processor, the memory storing processor-executable instructions which, when executed, configure the processor to receive, via the communications module and from a computing device, a signal comprising image data representing a first document; automatically analyze text in the first document based on stored classification data to identify a first parameter from the text in the first document; compare the first parameter to a second parameter, the second parameter being obtained from a data store and being associated with a second document; determine annotation data based on the comparison, the annotation data determined based on the first parameter and the second parameter; and provide, to the computing device via the communications module, a signal that includes an instruction to cause the annotation data to be overlaid on a display of the computing device, the display of the computing device displaying a real-time image of the first document, the instruction including marker data identifying a location associated with the first document and influencing a location of the annotation in the display."
2020,"A non-transitory computer-readable storage medium storing a program that causes a computer to execute a process including detecting, from a text, one of a plurality of first strings included in first information, each of the plurality of first strings being associated with control information, determining whether to execute a determination process based on the control information associated with a specified string when the specified string is detected from the text, the determination process determining whether the second string is included in second information, the second information including at least one of third string being associated with another coded string, the second string being a string that includes the specified string at the beginning of the second string, executing the determination process when the determination process is determined to be executed and transforming the second string into the another coded string associated with the third string."
2020,Provided is an information processing apparatus including a selecting unit that selects a second user to be a target of notification of information on the basis of a result of behavior recognition with respect to a first user.
2020,"Systems for automatic document generation automatic content recognition may comprise a storage medium and a processor coupled to the storage medium. The processor may generate and/or process a document template and receive client data. In some embodiments, the processor may automatically determine whether the client data is compliant with at least one content control standard based on a comparison between the client data and at least one text variant and, if so, may automatically generate a processed document using the client data and the document template. In some embodiments, the processor may establish at least one normative form for the document template, automatically compare the client data with the normative form content, automatically recognize that the client data corresponds to the document template based on the comparing, and automatically generate a processed document using the client data and the document template."
2020,"Disclosed are techniques that use mixed reality, e.g., augmented reality and virtual reality technologies to improve analysis of security situations as well as retail processes and activity in retail stores. For security these techniques merge the physical world embodied in security systems with the virtual world of policies and analytics. In the retail aspect, these techniques merge the physical world of retail items, displays, and spaces with the virtual world of policies and analytics."
2020,A messaging server that concurrently provides a business or other recipient with a message sent to the recipient and the set of entities detected within the message using natural language processing (NLP). A business interacts with the messaging server to specify the types of NLP to perform on messages received by the business. The messaging server creates a configuration token describing the specified NLP configuration. The messaging server receives a message sent from a client to the business and generates a payload describing the message and including the configuration token. The messaging server then sends the payload to a NLP server. The NLP server performs NLP on the message in the payload according to the configuration specified by the token to detect a set of entities. The messaging server forms an enriched payload including the message and detected entities and forwards the enriched payload to the business.
2020,"A system and method for functioning as a companion robot (11) to provide services to a user, collect data and information about the local environment to the robot and the user, and communicate with the user and to a remote processing means. A plurality of sensors are adapted to: (i) probe an environment in which the companion robot and user is disposed and generate data in respect of the environment; and sense information about the user and generate data containing the information. A communication means communicates: (i) sensorially perceptive information to the user; and (ii) data containing information to a remote processing means. A processing means: (i) receives data from the sensors; (ii) processes the data to extract information therefrom and perform prescribed functions with the information; and (iii) provides output information and data to the communication means."
2020,"A system for predicting an emotion of a user by using a web content includes a URL collection unit for collecting a URL of a web page; a representative URL selection unit for selecting a category-specific representative URL, a basic emotion-specific representative URL, and a dimensional emotion-specific representative URL according to contents included in a plurality of collected URLs; a representative vocabulary set creation unit for creating vocabulary sets representing a category, a basic emotion, and a dimensional emotion, respectively, on the basis of the selected representative URLs; a vocabulary extraction unit for crawling a plurality of texts; and a selection unit for comparing document similarities between the plurality of extracted vocabularies and the vocabulary sets."
2020,"Determining whether a proposed message contextually fits a messaging session. A method obtains a proposed message to be sent in a messaging session between users of a messaging service. The method identifies a context of the proposed message. The method determines whether the proposed message contextually fits the messaging session based on characteristics of an expected response to the proposed message, the characteristics of the expected response being based on patterns of communication between the users. The method also performs processing based on whether the proposed message contextually fits the messaging session."
2020,"A method and system for generating an article of a product. The method includes: receiving a request from a user; when the request include an identification of the product, retrieving traits of the product from a trait database, when the request include keywords, retrieving the traits of the product by comparing the similarity between the keywords and the traits or the synonym of the traits; generating candidate sentences corresponding to the traits; selecting sentences from the candidate sentences, and revising and rearranging the sentences to generate the article."
2020,"A method and apparatus of a device that performs goals-based investing using an account-level target is described. In one embodiment, the device processes data representing a plurality of goals of an investor, an investment style for each goal, an account for funding the goals, and initial funding levels for each goal to create a goal-level target for each goal. The device creates an account-level target based on the goal-level targets and an initial blend ratio that is formed from the initial funding levels. The device manages a purchased portfolio of the investor using the account-level target. The device allocates funds of the purchased portfolio to the goals such that the allocated funds update the funding levels for each goal. In a further embodiment, the device updates the account-level target based on an updated blend ratio, where the updated blend ratio is formed from the updated funding levels for each goal."
2020,System(s)/method(s) relate to machine learning to automatically respond for troubleshooting a device. A programmed computer system obtains a training dataset from at least one database including historical customer complaint records and maintenance service records with resolution codes. The training dataset is parsed by a natural language extraction engine to extract data including extracting keyword data from the historical customer complaint records. The extracted data is grouped into bags-of-words with a natural language association engine. The bags-of-words are mapped to one or more of the resolution codes with an SVM to provide corresponding mapping vectors. A current customer complaint record is received and information therein is parsed to provide a request bag-of-words. One or more of the mapping vectors having one or more most likely fits to the request bag-of-words is determined. One or more of the resolution codes associated with the one or more of the mapping vectors is provided.
2020,A scalable hierarchical coreference method that employs a homomorphic compression scheme that supports addition and partial subtraction to more efficiently represent the data and the evolving intermediate results of probabilistic inference. The method may encode the features underlying conditional random field models of coreference resolution so that cosine similarities can be efficiently computed. The method may be applied to compressing features and intermediate inference results for conditional random fields. The method may allow compressed representations to be added and subtracted in a way that preserves the cosine similarities.
2020,A method and system for dynamically controlling publication of a changing web page. A delta vector of a change in position of a user interface control in a web browser window is invoked. The change in position occurred between a first time before a change to a web page that is already public was received and a second time after the change to the web page was implemented. A click speed component is invoked to obtain information on transition times between user interface controls including the user interface control within a click flow. A user interface control weight value is determined for the user interface control having undergone the change in position. A disruptiveness factor value is determined based on the delta vector and the corresponding user interface control weight. A test pattern to be applied to the changed web page is selected depending on the determined disruptiveness factor.
2020,"Techniques described herein relate to facilitating end-to-end multilingual communications with automated assistants. In various implementations, speech recognition output may be generated based on voice input in a first language. A first language intent may be identified based on the speech recognition output and fulfilled in order to generate a first natural language output candidate in the first language. At least part of the speech recognition output may be translated to a second language to generate an at least partial translation, which may then be used to identify a second language intent that is fulfilled to generate a second natural language output candidate in the second language. Scores may be determined for the first and second natural language output candidates, and based on the scores, a natural language output may be selected for presentation."
2020,"Systems, methods, and non-transitory computer-readable media can receive a set of text entered by a composing user. A style identifier associated with a pre-defined style is received. The set of text and the style identifier are transmitted to a viewing user computing device for rendering of a stylized text post on the viewing user computing device based on the set of text and the style identifier."
2020,A wearable electronic device displays a virtual object with a real object in a field of view. The virtual object moves to another location with respect to the real object in response to determining movement of the wearable electronic device will cause the virtual object to be outside the field of view.
2020,"Provided are techniques generating graphs based on reading and listening patterns. Key concepts of a content item are identified using text analysis. Focus elements that are focused on by a consumer of the content item are identified. The key concepts are compared with the focus elements to identify overlapping elements. A graph that includes components is generated with the overlapping elements, wherein the graph reflects understanding of the content item from a perspective of the consumer. The components are modified based on component identifiers. The graph is provided to one or more users."
2020,"Embodiments of the invention are directed to a system, method, or computer program product for ancillary channel communication services and enrollment via automatic population. In this way, the system may perform analysis of user channel communications for enrollment into a product or service. Based on the analysis the system may generate a populated application for enrollment via the same communication channel. The system generates a comprehensive application that comprises access to the product and use of the product with a sectioned portion associated with determined ancillary products for user deployment based on the product and the communication via the communication channel."
2020,"Systems and methods for generating tasks based on chat sessions between users of a collaboration environment are disclosed. Exemplary implementations may: obtain content information characterizing content of the chat sessions between the users of the collaboration environment; generate tasks for the users based on the content from the chat sessions, a first task being generated based on the first content information for the first chat session; and/or store information defining the tasks generated as part of the state information such that the first task is defined by a first task record."
2020,"An application generating website building system (AGWBS) converts a website to an application which operates on a mobile device. The system includes a website building system (WBS) to enable a user to build a website, and to host the website, a database to store website data that includes at least a structure of the website, an application generator repository to store at least several per-vertical base apps, where each per-vertical base app is a template app for one type of business, and an application generator to determine the website type of business, to generate an initial extended application content file (XACF) at least from an associated per-vertical base app for the type of business, to analyze the structure of the website to generate a graph of elements of the website and to use the graph to modify the associated per-vertical base app into an XACF defining the mobile application."
2020,"A user supplies customer messages by using the user computational device, which communicates with the server gateway. The server gateway processes the customer messages and sends them to the artificial intelligence system for analysis. The artificial intelligence system then analyzes these customer messages to determine the content by tagging words and phrases with industry specific tags (e.g. product feedback, product defects, shipping delays, etc) as well as tags based on sentiment type (e.g., negative, positive, neutral, sarcasm, mixed) and contact type (e.g., delivery person, influencer, postsale, presale). The artificial intelligence system returns the tagged results, which are displayed on the dashboard of the user computational device or exported to another system for visualization."
2020,"A multi-user search system with methodology for personalized search query autocomplete. In one embodiment, for example, a computer-implemented method includes: receiving a search query having an incomplete token; generating an index key that is composed of both (a) an identifier of a document namespace that a user account associated with the search query is authorized to access, and (b) the incomplete token; accessing an index dictionary with the index key to identify a plurality of index tokens, each index token of the plurality of index tokens having the identifier of the document namespace as part of the index token and having the incomplete token as a token portion of the index token or as a prefix of the token portion of the index token; iterating over the plurality of index tokens until a stop condition is reached; and returning an answer to the search query based on the iterating."
2020,"A method of generating a message body including receiving data points from a plurality of sources. The plurality of sources determines the dynamic fields presented on a graphical user interface that may be utilized to generate a message body. The dynamic fields are then enriched by the data points. If no data point is available, the graphical user interface notifies the user and inhibits the user from generating a text message from the message body. The method may also utilize dynamic templates to generate a message body. These dynamic templates are enriched when utilized by the graphical user interface. A text message generated is sent to an SMS server."
2020,"A method for encoding documents includes building or otherwise providing a condensed dictionary including identifiers for block headers identified in text blocks extracted from a collection of training documents. For at least one test document a set of text content blocks is identified. For each of the text content blocks in the set, a block header is identified. Each block header in the training and test documents includes a sequence includes no more than a predetermined maximum number of characters. An encoding of the test document is generated, based on the identifiers of the block headers identified in the test document that are in the condensed dictionary."
2020,"Provided is an information processing device including an input detector that detects a designated position of a display, a tag generator that generates a tag image by associating the position detected by the input detector with input information to be input and displays the generated tag image on the display, and a display processor that displays, on the display, a plurality of pieces of the input information associated with each of a plurality of the tag images generated by the tag generator, based on each of attributes of the plurality of tag images."
2020,"A method includes receiving a web-page with a search bar and a first set of card(s) including file(s) of a first set of content files. The method includes transmitting an indication the search bar was selected and receiving tag array(s) associated with a second set of content files. The method includes displaying, within an expanded search bar, tag array(s) including a first tag array associated with file(s) among the second set of files, and transmitting an indication the first tag array was selected from within the search bar, and receiving a third set of content files for populating card(s) on a modified web-page. Each file of the third set of files includes a file most-recently downloaded to a server and associated with the first tag array. The method includes displaying the modified web-page, including a second set of one or more cards including file(s) of the third set of files."
2020,"System and method for cheque image data masking are disclosed. In an example, a cheque image and a data file are received, the data file includes data records with values corresponding to sensitive data fields in the cheque image. Further, a template cheque image matching to the cheque image and redacted information associated with the template cheque image are obtained. Furthermore, a blank image snippet is generated for each sensitive data field in the cheque image based on a part of the obtained information about sensitive fields. Moreover, values corresponding to each sensitive field from the input data file are written to the blank image snippet based on the remaining information about sensitive fields. Also, the template cheque image is updated with the image snippet. Data of non-sensitive fields in the cheque image is then copied to the template cheque image, thereby facilitating cheque image data masking."
2020,"The invention provides a method and system for training a machine learning-based patent search or novelty evaluation system. The method comprises providing a plurality of patent documents each having a computer-identifiable claim block and specification block, the specification block including at least part of the description of the patent document. The method also comprises providing a machine learning model and training the machine learning model using a training data set comprising data from said patent documents for forming a trained machine learning model. According to the invention, the training comprises using pairs of claim blocks and specification blocks originating from the same patent document as training cases of said training data set."
